address,tagname,description,SCADA_tagname,type,source
310.01,V77AM,""" """,[],BOOL,PLC
310.02,V90AM,""" """,[],BOOL,PLC
310.03,V101ABAM,""" """,[],BOOL,PLC
310.04,V93AM,""" """,[],BOOL,PLC
310.05,V100AM,""" """,[],BOOL,PLC
310.06,V91ABAM,""" """,[],BOOL,PLC
310.07,V103AM,""" """,[],BOOL,PLC
310.08,V104AM,""" """,[],BOOL,PLC
310.09,V106AM,""" """,[],BOOL,PLC
310.11,V108ABAM,""" """,[],BOOL,PLC
310.12,V109ABAM,""" """,[],BOOL,PLC
310.13,V110AM,""" """,[],BOOL,PLC
310.14,P66AM,""" """,[],BOOL,PLC
310.15,P67AM,""" """,[],BOOL,PLC
311.00,P68AM,""" """,[],BOOL,PLC
311.01,P69AM,""" """,[],BOOL,PLC
311.02,P76AM,""" """,[],BOOL,PLC
311.03,P116AM,""" """,[],BOOL,PLC
311.04,P118AM,""" """,[],BOOL,PLC
311.05,P117AM,""" """,[],BOOL,PLC
311.06,P119AM,""" """,[],BOOL,PLC
311.09,P64AM,""" """,[],BOOL,PLC
311.10,P72AM,""" """,[],BOOL,PLC
311.11,V111AM,"""V111AM""",[],BOOL,PLC
311.12,V111_SCADAMAN,"""V111 SCADAMAN""",[],BOOL,PLC
311.13,V112AM,"""V112AM""",[],BOOL,PLC
311.14,V112SCADAMAN,"""V112SCADAMAN""",[],BOOL,PLC
312.00,V88SCADAMAN,""" """,[],BOOL,PLC
312.01,V77SCADAMAN,""" """,[],BOOL,PLC
312.02,V90SCADAMAN,""" """,[],BOOL,PLC
312.03,V101ABSCADAMAN,""" """,[],BOOL,PLC
312.04,V93SCADAMAN,""" """,[],BOOL,PLC
312.05,V100SCADAMAN,""" """,[],BOOL,PLC
312.06,V91ABSCADAMAN,""" """,[],BOOL,PLC
312.07,V103SCADAMAN,""" """,[],BOOL,PLC
312.08,V104SCADAMAN,""" """,[],BOOL,PLC
312.09,V106SCADAMAN,""" """,[],BOOL,PLC
312.11,V108ABSCADAMAN,""" """,[],BOOL,PLC
312.12,V109ABSCADAMAN,""" """,[],BOOL,PLC
312.13,V110SCADAMAN,""" """,[],BOOL,PLC
312.14,P66SCADAMAN,""" """,[],BOOL,PLC
312.15,P67SCADAMAN,""" """,[],BOOL,PLC
313.00,P68SCADAMAN,""" """,[],BOOL,PLC
313.01,P69SCADAMAN,""" """,[],BOOL,PLC
313.02,P76SCADAMAN,""" """,[],BOOL,PLC
313.03,P116SCADAMAN,""" """,[],BOOL,PLC
313.04,P118SCADAMAN,""" """,[],BOOL,PLC
313.05,P117SCADAMAN,""" """,[],BOOL,PLC
313.06,P119SCADAMAN,""" """,[],BOOL,PLC
313.09,P64SCADAMAN,""" """,[],BOOL,PLC
313.10,P72SCADAMAN,""" """,[],BOOL,PLC
315.04,STER_STEAM_PRESSURE_ALM,"""Sterilizer Low Steam Pressure Alarm""",['STER_STEAM_PRESSURE_ALM'],BOOL,BOTH
4.00,STER_V88,"""STERILE TANK WATER VALVE V77""",['STER_V88'],BOOL,BOTH
4.01,STER_V77,"""BALANCE TANK WATER VALVE V88""",['STER_V77'],BOOL,BOTH
4.02,STER_V90,"""BALANCE TANK SPRAY BALL V-90""",['STER_V90'],BOOL,BOTH
4.03,STER_V91,"""CIP PUMP A ISOLATION VALVE V101""",['STER_V91'],BOOL,BOTH
4.04,STER_V93,"""STEAM VALVE V93""",['STER_V93'],BOOL,BOTH
4.05,SV405_BPV,"""Back Pressure Valve Air supply V-98""",[],BOOL,PLC
4.06,STER_V99,"""SEPARATOR VACUUM VALVE V99""",['STER_V99'],BOOL,BOTH
4.07,STER_V100,"""SEPARATOR CIP SPRAY BALL VALVE V100""",['STER_V100'],BOOL,BOTH
4.08,STER_V101,"""CIP PUMP B ISOLATION VALVES V91""",['STER_V101'],BOOL,BOTH
4.09,STER_V103,"""V103 STATUS (O/P INVERTED)""","['STER_V103', 'STER_V103_ACTUAL']",BOOL,BOTH
4.10,STER_V104,"""V104 STATUS""",['STER_V104'],BOOL,BOTH
4.11,STER_V106,"""STERILE TANK CIP SPRAY BALL V-106""",['STER_V106'],BOOL,BOTH
4.12,STER_V107,"""STERILE TANK BLOCKING VALVE V107 (N/O)""",['STER_V107'],BOOL,BOTH
4.13,STER_V108,"""CIP PUMP EAST VOTATOR ISOLATION VALVE V108""",['STER_V108'],BOOL,BOTH
4.14,STER_V109,"""CIP PUMP WEST VOTATOR ISOLATION VALVE V109""",['STER_V109'],BOOL,BOTH
4.15,STER_V110,"""BALANCE TANK CIP RETURN VALVE 110 N.O to drian ...""",['STER_V110'],BOOL,BOTH
400.00,STER_PROCESS_PS1,"""PROCESS STARTED""","['STER_CIP_SQT_PRODSTART_TRIGGER', 'STER_PROCESS_PS1', 'STER_PROCESS']",BOOL,BOTH
400.02,STER_PROCESS_PS2,"""START P116 / P76""",['STER_PROCESS_PS2'],BOOL,BOTH
400.04,STER_PROCESS_PS3,"""START P64""",['STER_PROCESS_PS3'],BOOL,BOTH
400.06,STER_PROCESS_PS4,"""START VACUUM""",['STER_PROCESS_PS4'],BOOL,BOTH
400.08,STER_PROCESS_PS5,"""START VACUUM MONITORING""",['STER_PROCESS_PS5'],BOOL,BOTH
400.10,STER_PROCESS_PS6,"""START P64""",['STER_PROCESS_PS6'],BOOL,BOTH
400.12,STER_PROCESS_PS7,"""RECIRCULATION""",['STER_PROCESS_PS7'],BOOL,BOTH
400.14,STER_PROCESS_PS8,"""START STEAM / POSITION VALVES""",['STER_PROCESS_PS8'],BOOL,BOTH
401.00,STER_PROCESS_PS9,"""START STERILIZATION TIME""",['STER_PROCESS_PS9'],BOOL,BOTH
401.02,STER_PROCESS_PS10,"""SYSTEM STERILE (READY)""",['STER_PROCESS_PS10'],BOOL,BOTH
401.04,STER_PROCESS_PS11,"""TRANSITION TO PRODUCT""",['STER_PROCESS_PS11'],BOOL,BOTH
401.06,STER_PROCESS_PS12,"""START FEED CONTROL""",['STER_PROCESS_PS12'],BOOL,BOTH
401.08,STER_PROCESS_PS13,"""WAITING FOR SEPARATOR LEVEL""",['STER_PROCESS_PS13'],BOOL,BOTH
401.10,STER_PROCESS_PS14,"""SYSTEM FORWARD (ONLINE)""",['STER_PROCESS_PS14'],BOOL,BOTH
401.12,STER_PROCESS_PS15,"""START PRODUCTION MONITORING""","['STER_CIP_SQT_GELSTER_TRIGGER', 'STER_PROCESS_PS15']",BOOL,BOTH
401.14,STER_PROCESS_PS18,"""LOW TEMP RECIRC TIME (2min)""",['STER_PROCESS_PS18'],BOOL,BOTH
415.00,P200MINUSPULSE,""" """,[],BOOL,PLC
415.02,P207MINUSPULSE,""" """,[],BOOL,PLC
415.03,P208MINUSPULSE,""" """,[],BOOL,PLC
415.08,V411MINUSPULSE,""" """,[],BOOL,PLC
420.00,STER_CIP_CS1,"""CIP STARTED""","['STER_CIP_CS1', 'STER_CIP_SQT_CIPSTART_TRIGGER', 'STER_CIP_START_DI', 'STER_CIP_START_PASS_THRU', 'STER_START_CIP_DA']",BOOL,BOTH
420.02,STER_CIP_CS2,"""EMPTY BALANCE TANK""",['STER_CIP_CS2'],BOOL,BOTH
420.04,STER_CIP_CS3,"""BALANCE TANK LEVEL CONTROL""",['STER_CIP_CS3'],BOOL,BOTH
420.06,STER_CIP_CS4,"""VOTATOR PULSATION""",['STER_CIP_CS4'],BOOL,BOTH
