address,real_address,prefix,number,tagname,description,tag_type,source,alias,parent,SCADA_tagname
D32624,D32624,D,32624,EXT_ADDR_D32624,""" (OMR D32624)""",REAL,PLC,,,[]
D32625,D32625,D,32625,EXT_ADDR_D32625,""" (OMR D32625)""",REAL,PLC,,,[]
D32626,D32626,D,32626,EXT_ADDR_D32626,""" (OMR D32626)""",REAL,PLC,,,[]
D32627,D32627,D,32627,EXT_ADDR_D32627,""" (OMR D32627)""",REAL,PLC,,,[]
D32628,D32628,D,32628,EXT_ADDR_D32628,""" (OMR D32628)""",REAL,PLC,,,[]
D32629,D32629,D,32629,EXT_ADDR_D32629,""" (OMR D32629)""",REAL,PLC,,,[]
D32630,D32630,D,32630,EXT_SKIMMINGS_FIRST_OUT_ADDRESS,"""Skimmings First Out Address (OMR D32630)""",REAL,PLC,,,[]
D32631,D32631,D,32631,EXT_ADDR_D32631,""" (OMR D32631)""",REAL,PLC,,,[]
D32650,D32650,D,32650,EXT_FQI_121_BUCKET,"""FQI-121 BUCKET (OMR D32650)""",REAL,PLC,,,[]
D32651,D32651,D,32651,EXT_ADDR_D32651,""" (OMR D32651)""",REAL,PLC,,,[]
D32652,D32652,D,32652,EXT_FIT_121_DOUBLE,"""FIT-121 DOUBLE (OMR D32652)""",REAL,PLC,,,[]
D32653,D32653,D,32653,EXT_ADDR_D32653,""" (OMR D32653)""",REAL,PLC,,,[]
D32654,D32654,D,32654,EXT_FQI_121,"""FQI-121 (OMR D32654)""",REAL,PLC,,,[]
D32655,D32655,D,32655,EXT_ADDR_D32655,""" (OMR D32655)""",REAL,PLC,,,[]
D32656,D32656,D,32656,EXT_ADDR_D32656,""" (OMR D32656)""",REAL,PLC,,,[]
D32657,D32657,D,32657,EXT_ADDR_D32657,""" (OMR D32657)""",REAL,PLC,,,[]
D32660,D32660,D,32660,EXT_ADDR_D32660,""" (OMR D32660)""",REAL,PLC,,,[]
D32661,D32661,D,32661,EXT_ADDR_D32661,""" (OMR D32661)""",REAL,PLC,,,[]
D32662,D32662,D,32662,EXT_ADDR_D32662,""" (OMR D32662)""",REAL,PLC,,,[]
D32663,D32663,D,32663,EXT_ADDR_D32663,""" (OMR D32663)""",REAL,PLC,,,[]
D32664,D32664,D,32664,EXT_ADDR_D32664,""" (OMR D32664)""",REAL,PLC,,,[]
D32665,D32665,D,32665,EXT_ADDR_D32665,""" (OMR D32665)""",REAL,PLC,,,[]
D32666,D32666,D,32666,EXT_ADDR_D32666,""" (OMR D32666)""",REAL,PLC,,,[]
D32667,D32667,D,32667,EXT_ADDR_D32667,""" (OMR D32667)""",REAL,PLC,,,[]
D32674,D32674,D,32674,EXT_ADDR_D32674,""" (OMR D32674)""",REAL,PLC,,,[]
D32675,D32675,D,32675,EXT_ADDR_D32675,""" (OMR D32675)""",REAL,PLC,,,[]
D32676,D32676,D,32676,EXT_ADDR_D32676,""" (OMR D32676)""",REAL,PLC,,,[]
D32677,D32677,D,32677,EXT_ADDR_D32677,""" (OMR D32677)""",REAL,PLC,,,[]
D32678,D32678,D,32678,EXT_ADDR_D32678,""" (OMR D32678)""",REAL,PLC,,,[]
D32679,D32679,D,32679,EXT_ADDR_D32679,""" (OMR D32679)""",REAL,PLC,,,[]
D32730,D32730,D,32730,EXT_ADDR_D32730,""" (OMR D32730)""",REAL,PLC,,,[]
D32731,D32731,D,32731,EXT_ADDR_D32731,""" (OMR D32731)""",REAL,PLC,,,[]
D32732,D32732,D,32732,EXT_ADDR_D32732,""" (OMR D32732)""",REAL,PLC,,,[]
D32750,D32750,D,32750,EXT_ADDR_D32750,""" (OMR D32750)""",REAL,PLC,,,[]
D32751,D32751,D,32751,EXT_ADDR_D32751,""" (OMR D32751)""",REAL,PLC,,,[]
D32752,D32752,D,32752,EXT_ADDR_D32752,""" (OMR D32752)""",REAL,PLC,,,[]
D32753,D32753,D,32753,EXT_ADDR_D32753,""" (OMR D32753)""",REAL,PLC,,,[]
D32754,D32754,D,32754,EXT_ADDR_D32754,""" (OMR D32754)""",REAL,PLC,,,[]
D32755,D32755,D,32755,EXT_ADDR_D32755,""" (OMR D32755)""",REAL,PLC,,,[]
H0,H0,H,0,EXT_ADDR_H0,""" (OMR H0)""",DINT,PLC,EXT_H_array[0],,[]
H0.00,H0.00,H,0.00,EXT_ADDR_H0.00,""" (OMR H0.00)""",BOOL,PLC,EXT_H_array[0].00,EXT_ADDR_H0,[]
H0.01,H0.01,H,0.01,EXT_1FILL1STRT,"""Extractor 1 Start fill 1st Cook (OMR H0.01)""",BOOL,BOTH,EXT_H_array[0].01,,"['FILL_START', 'EXT_1_1_ACTIVE_FILL_DI']"
H0.02,H0.02,H,0.02,EXT_1FILL1CMPLT,"""Extractor 1 Fill 1 Complete (OMR H0.02)""",BOOL,BOTH,EXT_H_array[0].02,,['EXT_1_1_FINISH_FILL_DI']
H0.03,H0.03,H,0.03,EXT_1HEAT1START,"""Extractor 1 Start Heat Up #1 (OMR H0.03)""",BOOL,BOTH,EXT_H_array[0].03,,"['EXT_1_1_ACTIVE_HU_START_DI', 'HEATUP_START', 'EXT_1_1_ACTIVE_HU_DI', 'EXT_1_1_ACTIVE_HU_DI_1', 'EXT_1_1_ACTIVE_HU_DI_2']"
H0.04,H0.04,H,0.04,EXT_1HEAT1CMPLT,"""Extractor 1 Heat Up Complete (OMR H0.04)""",BOOL,BOTH,EXT_H_array[0].04,,"['EXT_1_1_FINISH_HU_DI', 'EXT_1_1_FINISH_HU_DI_1']"
H0.05,H0.05,H,0.05,EXT_1COOK1CMPLT,"""Extractor 1 Cook Complete (OMR H0.05)""",BOOL,BOTH,EXT_H_array[0].05,,['EXT_1_1_FINISH_COOK_DI']
H0.06,H0.06,H,0.06,EXT_1DROP1STRT,"""Extractor 1 Drop Valve Open (OMR H0.06)""",BOOL,BOTH,EXT_H_array[0].06,,"['DROP_START', 'EXT_1_1_ACTIVE_DROP_DI']"
H0.07,H0.07,H,0.07,EXT_1DROP1CMPLT,"""Extractor 1 Drop Complete Flag (OMR H0.07)""",BOOL,BOTH,EXT_H_array[0].07,,"['EXT_1_1_FINISH_DROP_DI', 'EXT_1_1_FINISH_DROP_DI_1']"
H0.08,H0.08,H,0.08,EXT_1SETL1CMPLT,"""Extractor 1 Settling Time Complete (OMR H0.08)""",BOOL,BOTH,EXT_H_array[0].08,,['EXT_1_1_FINISH_SET_DI']
H0.09,H0.09,H,0.09,EXT_1TRNSFR1STRT,"""Extractor 1 1st Cook Transfer Flag (OMR H0.09)""",BOOL,BOTH,EXT_H_array[0].09,,['EXT_1_1_ACTIVE_TRAN_DI']
