Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
DI,N_PRE_V4002_ZL_DI,,RHT4 Slide Gate Valve Closed,OMR_FINS.EXT.W14.4,W14.4,W14.4,EXT_N_PRE_V4002_ZL
DI,N_PRE_PREWASH_3_START,,(NGC)Sequence Start,OMR_FINS.EXT.H300.4,H300.4,H300.4,EXT_PRT3_PREWASH_START
DI,N_PRE_PREWASH_3_START_DI,,Sequence Start,OMR_FINS.EXT.H300.4,H300.4,H300.4,EXT_PRT3_PREWASH_START
DI,N_PRE_V4001_ZH_DI,,RHT4 Drain Valve Opened,OMR_FINS.EXT.W14.2,W14.2,W14.2,EXT_N_PRE_V4001_ZH
DI,N_PRE_V4001_ZH,,(NGC)RHT4 Drain Valve Opened,OMR_FINS.EXT.W14.2,W14.2,W14.2,EXT_N_PRE_V4001_ZH
DI,N_PRE_PREWASH_4_SKIP,,(NGC)Sequence Skip,OMR_FINS.EXT.H500.6,H500.6,H500.6,EXT_PRT4_PREWASH_SKIP
DI,N_PRE_PREWASH_4_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H500.6,H500.6,H500.6,EXT_PRT4_PREWASH_SKIP
DI,N_PRE_POSTW4_1_START_DI,,Sequence Start,OMR_FINS.EXT.H108.0,H108.0,H108.0,EXT_PRT1_POSTW4_START
DI,N_PRE_POSTW4_1_START,,(NGC)Sequence Start,OMR_FINS.EXT.H108.0,H108.0,H108.0,EXT_PRT1_POSTW4_START
DI,N_PRE_POSTW4_1_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H108.2,H108.2,H108.2,EXT_PRT1_POSTW4_SKIP
DI,N_PRE_POSTW4_1_SKIP,,(NGC)Sequence Skip,OMR_FINS.EXT.H108.2,H108.2,H108.2,EXT_PRT1_POSTW4_SKIP
DI,N_PRE_V4003_AUTO_CMD,,(NGC)PRT4 Spray Ball Cold Water Valve  A,OMR_FINS.EXT.H505.4,H505.4,H505.4,EXT_V4003_AUTO_CMD
DI,N_PRE_PREWASH_4_START,,(NGC)Sequence Start,OMR_FINS.EXT.H500.4,H500.4,H500.4,EXT_PRT4_PREWASH_START
DI,N_PRE_V4003_AUTO_CMD_DI,,PRT4 Spray Ball Cold Water Valve  AUTO C,OMR_FINS.EXT.H505.4,H505.4,H505.4,EXT_V4003_AUTO_CMD
DI,N_PRE_PREWASH_4_START_DI,,Sequence Start,OMR_FINS.EXT.H500.4,H500.4,H500.4,EXT_PRT4_PREWASH_START
DI,N_PRE_V4001_ZC_DI,,RHT4 Drain Valve Output,OMR_FINS.EXT.W15.2,W15.2,W15.2,EXT_N_PRE_V4001_ZC
DI,N_PRE_V4001_ZC,,(NGC)RHT4 Drain Valve Output,OMR_FINS.EXT.W15.2,W15.2,W15.2,EXT_N_PRE_V4001_ZC
DI,N_PRE_POSTW3_4_START_DI,,Sequence Start,OMR_FINS.EXT.H501.0,H501.0,H501.0,EXT_PRT4_POSTWIII_START
DI,N_PRE_PRE_TK4_LL,,Pretreatment Tank Low Level,OMR_FINS.EXT.CIO3302.4,CIO3302.4,CIO3302.4,EXT_N_PRE_PRE_TK4_LL
DI,N_PRE_PRT1_ACID_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H100.8,H100.8,H100.8,EXT_PRT1_ACID_AUTO
DI,N_PRE_POSTW3_4_START,,(NGC)Sequence Start,OMR_FINS.EXT.H501.0,H501.0,H501.0,EXT_PRT4_POSTWIII_START
DI,N_PRE_PRT1_ACID_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H100.8,H100.8,H100.8,EXT_PRT1_ACID_AUTO
DI,N_PRE_PRT1_ACID_IND,,(NGC)PRT1 Acid Indicator,OMR_FINS.EXT.H101.11,H101.11,H101.11,EXT_PRT1_ACID_IND
DI,N_PRE_PRT1_ACID_IND_DI,,PRT1 Acid Indicator,OMR_FINS.EXT.H101.11,H101.11,H101.11,EXT_PRT1_ACID_IND
DI,N_PRE_PRT1_ACID_REQ,,(NGC)PRT1 Acid Indicator,OMR_FINS.EXT.H101.10,H101.10,H101.10,EXT_N_PRE_PRT1_ACID_REQ
DI,N_PRE_POSTW3_4_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H501.2,H501.2,H501.2,EXT_PRT4_POSTWIII_SKIP
DI,N_PRE_PRT1_ACID_REQ_DI,,PRT1 Acid Indicator,OMR_FINS.EXT.H101.10,H101.10,H101.10,EXT_N_PRE_PRT1_ACID_REQ
DI,N_PRE_PRT1_ADVANCE_ACT_TIM,,(NGC)Sequence Step Advance Request,OMR_FINS.EXT.H101.14,H101.14,H101.14,EXT_PRT1_ADVANCE_ACT_TIM
DI,N_PRE_PRT1_ADVANCE_ACT_TIM_DI,,Sequence Step Advance Request,OMR_FINS.EXT.H101.14,H101.14,H101.14,EXT_PRT1_ADVANCE_ACT_TIM
DI,N_PRE_PRT1_ADVANCE_REQ,,(NGC)Sequence Step Advance Request,OMR_FINS.EXT.H101.13,H101.13,H101.13,EXT_PRT1_ADVANCE_REQ
DI,N_PRE_PRT1_ADVANCE_REQ_DI,,Sequence Step Advance Request,OMR_FINS.EXT.H101.13,H101.13,H101.13,EXT_PRT1_ADVANCE_REQ
